Geography,Indicator,Count
CYP,Men,461599.0
CZE,Men,4101540.0
COD,Men,Null
DNK,Men,1088934.0
DJI,Men,242060.0
DMA,Men,Null
DOM,Men,2071950.0
ECU,Men,2170096.0
EGY,Men,51269536.0
SLV,Men,1219406.0
GNQ,Men,Null
ERI,Men,404293.0
EST,Men,521330.0
SWZ,Men,191427.0
ETH,Men,9771905.0
FJI,Men,311963.0
FIN,Men,1252202.0
FRA,Men,23237370.0
GAB,Men,Null
GMB,Men,753999.0
GEO,Men,2213992.0
DEU,Men,27732486.0
GHA,Men,2392617.0
GRC,Men,5419989.0
GRD,Men,Null
GTM,Men,Null
GIN,Men,Null
GNB,Men,Null
GUY,Men,Null
HTI,Men,2633985.0
HND,Men,Null
HUN,Men,3361802.0
ISL,Men,51870.0
IND,Men,284280903.0
IDN,Men,208151476.0
Null,Men,Null
IRN,Men,17722513.0
IRQ,Men,Null
IRL,Men,1269014.0
ISR,Men,3064062.0
ITA,Men,16808388.0
JAM,Men,846892.0
JPN,Men,42622566.0
JOR,Men,Null
KAZ,Men,8092761.0
KEN,Men,10969345.0
OWID_KOS,Men,Null
KWT,Men,1580108.0
KGZ,Men,3294716.0
LAO,Men,3725085.0
LVA,Men,961963.0
LBN,Men,2777955.0
LSO,Men,1154674.0
LBR,Men,915440.0
LBY,Men,Null
LIE,Men,Null
LTU,Men,1034471.0
LUX,Men,162754.0
MDG,Men,Null
MWI,Men,4725099.0
MYS,Men,13723183.0
MDV,Men,297298.0
MLI,Men,4657692.0
MLT,Men,133345.0
MHL,Men,Null
MRT,Men,Null
MUS,Men,517609.0
MEX,Men,27591609.0
FSM,Men,Null
MDA,Men,1799147.0
MCO,Men,Null
MNG,Men,1524406.0
MNE,Men,300842.0
MAR,Men,17384873.0
MOZ,Men,9095332.0
MMR,Men,19152247.0
NAM,Men,868993.0
NPL,Men,11013713.0
NLD,Men,4677820.0
NZL,Men,829424.0
NIC,Men,Null
NER,Men,3727822.0
NGA,Men,22263075.0
MKD,Men,Null
NOR,Men,1122197.0
OMN,Men,796633.0
PAK,Men,81067485.0
PSE,Men,Null
PAN,Men,427162.0
PNG,Men,4366149.0
PRY,Men,1540626.0
PER,Men,Null
PHL,Men,44709083.0
POL,Men,12527226.0
PRT,Men,3059012.0
QAT,Men,775005.0
ROU,Men,7137180.0
RUS,Men,85079790.0
RWA,Men,2719964.0
KNA,Men,Null
LCA,Men,Null
VCT,Men,Null
WSM,Men,75594.0
SMR,Men,Null
STP,Men,Null
SAU,Men,8842722.0
SEN,Men,2779492.0
SRB,Men,2735448.0
SYC,Men,35107.0
SLE,Men,3294495.0
SGP,Men,1655647.0
SVK,Men,2058285.0
SVN,Men,519733.0
SLB,Men,Null
SOM,Men,Null
ZAF,Men,19690485.0
KOR,Men,20969096.0
SSD,Men,Null
ESP,Men,14681002.0
LKA,Men,5781578.0
SDN,Men,Null
SUR,Men,251666.0
SWE,Men,1908762.0
CHE,Men,2501185.0
SYR,Men,Null
TWN,Men,Null
TJK,Men,Null
TZA,Men,15949035.0
THA,Men,27082391.0
TLS,Men,1029703.0
TGO,Men,1175581.0
TTO,Men,Null
TUN,Men,7776651.0
TUR,Men,34663357.0
UGA,Men,7638747.0
UKR,Men,20729802.0
ARE,Men,3699010.0
GBR,Men,16767843.0
USA,Men,81426651.0
URY,Men,691272.0
UZB,Men,8266892.0
VUT,Men,105967.0
VAT,Men,Null
VEN,Men,Null
VNM,Men,44678410.0
OWID_WRL,Men,2699728540.0
YEM,Men,8709183.0
ZMB,Men,4540837.0
ZWE,Men,4562919.0
