Geography,date,Count
FJI,2020-03-31,46.86193548387097
FRA,2020-03-31,65.73870967741938
GAB,2020-03-31,57.81944444444443
GBR,2020-03-31,36.63322580645162
GEO,2020-03-31,61.410967741935494
GHA,2020-03-31,50.61777777777777
GIN,2020-03-31,33.28526315789474
GMB,2020-03-31,58.82466666666668
GNB,2020-03-31,
GNQ,2020-03-31,
GRC,2020-03-31,54.65806451612903
GRD,2020-03-31,
GTM,2020-03-31,57.049032258064514
GUY,2020-03-31,41.437
HKG,2020-03-31,63.89
HND,2020-03-31,80.64333333333333
HRV,2020-03-31,50.44935483870967
HTI,2020-03-31,82.40999999999998
HUN,2020-03-31,52.247142857142855
IDN,2020-03-31,42.25466666666668
IND,2020-03-31,54.52483870967742
IRL,2020-03-31,40.08451612903225
IRN,2020-03-31,46.834516129032274
IRQ,2020-03-31,76.04548387096776
ISL,2020-03-31,35.6935483870968
ISR,2020-03-31,58.54096774193548
ITA,2020-03-31,84.06870967741939
JAM,2020-03-31,66.3142857142857
JOR,2020-03-31,55.55482758620689
JPN,2020-03-31,41.15870967741936
KAZ,2020-03-31,67.61526315789476
KEN,2020-03-31,51.88807692307691
KGZ,2020-03-31,79.19928571428571
KHM,2020-03-31,31.900645161290313
KNA,2020-03-31,
KOR,2020-03-31,62.57870967741936
KWT,2020-03-31,62.24516129032257
LAO,2020-03-31,44.9075
LBN,2020-03-31,58.155483870967764
LBR,2020-03-31,60.35937499999999
LBY,2020-03-31,44.04821428571428
LCA,2020-03-31,
LIE,2020-03-31,
LKA,2020-03-31,54.56935483870968
LTU,2020-03-31,50.83483870967742
LUX,2020-03-31,49.93967741935486
LVA,2020-03-31,41.337419354838715
MAR,2020-03-31,48.20967741935484
MCO,2020-03-31,64.42580645161291
MDA,2020-03-31,60.91874999999999
MDG,2020-03-31,84.33916666666666
MDV,2020-03-31,
MEX,2020-03-31,19.923870967741934
MKD,2020-03-31,
MLI,2020-03-31,72.22000000000001
MLT,2020-03-31,47.579677419354844
MMR,2020-03-31,55.742000000000004
MNE,2020-03-31,
MNG,2020-03-31,57.280000000000015
MOZ,2020-03-31,44.720000000000006
MRT,2020-03-31,53.60222222222221
MUS,2020-03-31,63.295714285714276
MWI,2020-03-31,52.78
MYS,2020-03-31,47.192258064516146
NAM,2020-03-31,48.14888888888888
NER,2020-03-31,55.556666666666665
NGA,2020-03-31,28.881935483870972
NIC,2020-03-31,15.740000000000002
NLD,2020-03-31,44.264838709677406
NOR,2020-03-31,46.684193548387114
NPL,2020-03-31,48.71483870967742
NZL,2020-03-31,46.0258064516129
OMN,2020-03-31,48.654193548387106
OWID_KOS,2020-03-31,87.9122222222222
OWID_WRL,2020-03-31,
PAK,2020-03-31,55.735161290322566
PAN,2020-03-31,53.78434782608697
PER,2020-03-31,69.33500000000002
PHL,2020-03-31,64.84451612903226
PNG,2020-03-31,57.480833333333315
POL,2020-03-31,44.71035714285714
PRT,2020-03-31,47.432258064516134
PRY,2020-03-31,66.5932
PSE,2020-03-31,81.61777777777776
QAT,2020-03-31,48.20967741935482
ROU,2020-03-31,53.075483870967744
RUS,2020-03-31,47.04290322580644
RWA,2020-03-31,70.31722222222223
SAU,2020-03-31,54.96899999999998
SDN,2020-03-31,58.0545
SEN,2020-03-31,34.31999999999999
SGP,2020-03-31,33.96161290322581
SLE,2020-03-31,57.41
SLV,2020-03-31,85.32846153846154
SMR,2020-03-31,68.09870967741932
SOM,2020-03-31,43.23062499999999
SRB,2020-03-31,56.95967741935484
SUR,2020-03-31,54.73444444444442
SVK,2020-03-31,60.39884615384615
SVN,2020-03-31,46.05612903225807
SWE,2020-03-31,28.017741935483865
SWZ,2020-03-31,58.02611111111111
SYC,2020-03-31,38.169999999999995
SYR,2020-03-31,79.537
TCD,2020-03-31,27.779999999999998
TGO,2020-03-31,32.835357142857156
THA,2020-03-31,35.90258064516129
TLS,2020-03-31,46.669
TTO,2020-03-31,55.40166666666668
TUN,2020-03-31,53.00964285714286
TUR,2020-03-31,55.20380952380953
TWN,2020-03-31,29.14967741935484
TZA,2020-03-31,38.13500000000001
UGA,2020-03-31,65.48545454545454
UKR,2020-03-31,58.1737931034483
URY,2020-03-31,55.26315789473684
USA,2020-03-31,45.77451612903228
UZB,2020-03-31,71.3529411764706
VAT,2020-03-31,
VCT,2020-03-31,
VEN,2020-03-31,78.2938888888889
VNM,2020-03-31,53.49290322580645
ZAF,2020-03-31,39.33806451612903
ZMB,2020-03-31,32.93785714285715
ZWE,2020-03-31,55.01583333333334
AFG,2020-04-30,80.74000000000004
AGO,2020-04-30,87.5293333333333
ALB,2020-04-30,86.66499999999998
AND,2020-04-30,53.17966666666666
ARE,2020-04-30,87.59166666666664
ARG,2020-04-30,98.45699999999998
ARM,2020-04-30,
ATG,2020-04-30,
AUS,2020-04-30,71.48066666666668
AUT,2020-04-30,78.642
AZE,2020-04-30,89.78533333333338
BDI,2020-04-30,13.889999999999992
BEL,2020-04-30,81.48
BEN,2020-04-30,70.82999999999997
BFA,2020-04-30,84.26000000000003
BGD,2020-04-30,91.48333333333332
BGR,2020-04-30,72.28666666666669
BHR,2020-04-30,75.98666666666666
BHS,2020-04-30,96.30000000000003
BIH,2020-04-30,91.32433333333326
BLR,2020-04-30,16.359666666666673
BLZ,2020-04-30,75.24666666666666
BOL,2020-04-30,84.26000000000003
BRA,2020-04-30,75.00166666666664
BRB,2020-04-30,86.914
BRN,2020-04-30,56.47999999999998
BTN,2020-04-30,83.32999999999997
BWA,2020-04-30,85.27666666666666
CAF,2020-04-30,68.52
CAN,2020-04-30,72.87500000000003
CHE,2020-04-30,72.65533333333337
CHL,2020-04-30,73.15000000000005
CHN,2020-04-30,60.21300000000004
CIV,2020-04-30,80.55999999999996
CMR,2020-04-30,68.61366666666665
COD,2020-04-30,80.09666666666662
COG,2020-04-30,97.21999999999996
COL,2020-04-30,87.00533333333331
COM,2020-04-30,
CPV,2020-04-30,79.63000000000007
CRI,2020-04-30,76.76133333333335
CUB,2020-04-30,76.23399999999997
CYP,2020-04-30,93.51500000000003
CZE,2020-04-30,68.45733333333332
DEU,2020-04-30,76.84999999999995
DJI,2020-04-30,94.44000000000004
DMA,2020-04-30,79.63000000000007
DNK,2020-04-30,70.24666666666667
DOM,2020-04-30,94.56766666666668
DZA,2020-04-30,86.15533333333333
ECU,2020-04-30,93.52
EGY,2020-04-30,84.26000000000003
ERI,2020-04-30,93.52
ESP,2020-04-30,85.19000000000004
EST,2020-04-30,77.40933333333332
ETH,2020-04-30,77.75066666666663
FIN,2020-04-30,63.950666666666706
FJI,2020-04-30,88.89000000000001
FRA,2020-04-30,87.96000000000002
GAB,2020-04-30,76.29633333333337
GBR,2020-04-30,79.63000000000007
GEO,2020-04-30,99.50666666666669
GHA,2020-04-30,76.69799999999996
GIN,2020-04-30,78.7
GMB,2020-04-30,78.7
GNB,2020-04-30,
GNQ,2020-04-30,
GRC,2020-04-30,84.26000000000003
GRD,2020-04-30,
GTM,2020-04-30,94.7246666666667
GUY,2020-04-30,84.69466666666663
HKG,2020-04-30,66.67
HND,2020-04-30,100.0
HRV,2020-04-30,95.43466666666667
HTI,2020-04-30,89.10333333333331
HUN,2020-04-30,76.84999999999995
IDN,2020-04-30,68.42666666666665
IND,2020-04-30,98.64333333333339
IRL,2020-04-30,89.81499999999996
IRN,2020-04-30,54.568
IRQ,2020-04-30,92.59666666666665
ISL,2020-04-30,53.70000000000003
ISR,2020-04-30,89.35100000000004
ITA,2020-04-30,92.59433333333332
JAM,2020-04-30,81.63599999999998
JOR,2020-04-30,97.90133333333337
JPN,2020-04-30,45.73966666666668
KAZ,2020-04-30,92.13000000000007
KEN,2020-04-30,88.58166666666668
KGZ,2020-04-30,92.00666666666672
KHM,2020-04-30,60.46533333333336
KNA,2020-04-30,
KOR,2020-04-30,66.63766666666668
KWT,2020-04-30,89.96999999999997
LAO,2020-04-30,96.30000000000003
LBN,2020-04-30,84.69533333333337
LBR,2020-04-30,85.33766666666669
LBY,2020-04-30,94.75333333333334
LCA,2020-04-30,
LIE,2020-04-30,
LKA,2020-04-30,91.4196666666667
LTU,2020-04-30,81.72800000000004
LUX,2020-04-30,76.23466666666666
LVA,2020-04-30,69.44000000000004
MAR,2020-04-30,93.52
MCO,2020-04-30,87.96000000000002
MDA,2020-04-30,85.83533333333337
MDG,2020-04-30,85.46266666666664
MDV,2020-04-30,
MEX,2020-04-30,82.41
MKD,2020-04-30,
MLI,2020-04-30,72.22000000000001
MLT,2020-04-30,86.66933333333331
MMR,2020-04-30,80.5543333333333
MNE,2020-04-30,
MNG,2020-04-30,66.20233333333333
MOZ,2020-04-30,56.48000000000001
MRT,2020-04-30,77.78
MUS,2020-04-30,82.41
MWI,2020-04-30,57.717666666666695
MYS,2020-04-30,73.15000000000005
NAM,2020-04-30,69.69400000000003
NER,2020-04-30,61.109999999999964
NGA,2020-04-30,83.61133333333332
NIC,2020-04-30,20.18266666666667
NLD,2020-04-30,79.63000000000007
NOR,2020-04-30,76.17333333333336
NPL,2020-04-30,96.30000000000003
NZL,2020-04-30,95.12666666666668
OMN,2020-04-30,90.21566666666668
OWID_KOS,2020-04-30,92.59
OWID_WRL,2020-04-30,
PAK,2020-04-30,93.67266666666663
PAN,2020-04-30,91.204
PER,2020-04-30,94.44000000000004
PHL,2020-04-30,100.0
PNG,2020-04-30,78.2253333333333
POL,2020-04-30,82.83666666666663
PRT,2020-04-30,83.33500000000001
PRY,2020-04-30,94.1946666666667
