Geography,Indicator,Count
SAU,GDP at purchasing power parity,49045.41099999999
SEN,GDP at purchasing power parity,2470.58
SRB,GDP at purchasing power parity,14048.881000000001
SYC,GDP at purchasing power parity,26382.287
SLE,GDP at purchasing power parity,1390.3
SGP,GDP at purchasing power parity,85535.383
SVK,GDP at purchasing power parity,30155.152000000002
SVN,GDP at purchasing power parity,31400.84
SLB,GDP at purchasing power parity,2205.923
SOM,GDP at purchasing power parity,
ZAF,GDP at purchasing power parity,12294.876
KOR,GDP at purchasing power parity,35938.373999999996
SSD,GDP at purchasing power parity,1569.888
ESP,GDP at purchasing power parity,34272.36
LKA,GDP at purchasing power parity,11669.077
SDN,GDP at purchasing power parity,4466.5070000000005
SUR,GDP at purchasing power parity,13767.118999999999
SWE,GDP at purchasing power parity,46949.282999999996
CHE,GDP at purchasing power parity,57410.166
SYR,GDP at purchasing power parity,
TWN,GDP at purchasing power parity,
TJK,GDP at purchasing power parity,2896.913
TZA,GDP at purchasing power parity,2683.304
THA,GDP at purchasing power parity,16277.671
TLS,GDP at purchasing power parity,6570.102
TGO,GDP at purchasing power parity,1429.8129999999999
TTO,GDP at purchasing power parity,28763.071
TUN,GDP at purchasing power parity,10849.296999999999
TUR,GDP at purchasing power parity,25129.341
UGA,GDP at purchasing power parity,1697.707
UKR,GDP at purchasing power parity,7894.393
ARE,GDP at purchasing power parity,67293.483
GBR,GDP at purchasing power parity,39753.244
USA,GDP at purchasing power parity,54225.445999999996
URY,GDP at purchasing power parity,20551.409
UZB,GDP at purchasing power parity,6253.104
VUT,GDP at purchasing power parity,2921.909
VAT,GDP at purchasing power parity,
VEN,GDP at purchasing power parity,16745.022
VNM,GDP at purchasing power parity,6171.884
OWID_WRL,GDP at purchasing power parity,15469.207
YEM,GDP at purchasing power parity,1479.1470000000002
ZMB,GDP at purchasing power parity,3689.2509999999997
ZWE,GDP at purchasing power parity,1899.775
