Geography,Indicator,Count
HRV,Life expectancy at birth in 2019,78.49
CUB,Life expectancy at birth in 2019,78.8
CYP,Life expectancy at birth in 2019,80.98
CZE,Life expectancy at birth in 2019,79.38
COD,Life expectancy at birth in 2019,60.68
DNK,Life expectancy at birth in 2019,80.9
DJI,Life expectancy at birth in 2019,67.11
DMA,Life expectancy at birth in 2019,75.0
DOM,Life expectancy at birth in 2019,74.08
ECU,Life expectancy at birth in 2019,77.01
EGY,Life expectancy at birth in 2019,71.99
SLV,Life expectancy at birth in 2019,73.32
GNQ,Life expectancy at birth in 2019,58.74
ERI,Life expectancy at birth in 2019,66.32
EST,Life expectancy at birth in 2019,78.74
SWZ,Life expectancy at birth in 2019,60.19
ETH,Life expectancy at birth in 2019,66.6
FJI,Life expectancy at birth in 2019,67.44
FIN,Life expectancy at birth in 2019,81.91
FRA,Life expectancy at birth in 2019,82.66
GAB,Life expectancy at birth in 2019,66.47
GMB,Life expectancy at birth in 2019,62.05
GEO,Life expectancy at birth in 2019,73.77
DEU,Life expectancy at birth in 2019,81.33
GHA,Life expectancy at birth in 2019,64.07
GRC,Life expectancy at birth in 2019,82.24
GRD,Life expectancy at birth in 2019,72.4
GTM,Life expectancy at birth in 2019,74.3
GIN,Life expectancy at birth in 2019,61.6
GNB,Life expectancy at birth in 2019,58.32
GUY,Life expectancy at birth in 2019,69.91
HTI,Life expectancy at birth in 2019,64.0
HND,Life expectancy at birth in 2019,75.27
HUN,Life expectancy at birth in 2019,76.88
ISL,Life expectancy at birth in 2019,82.99
IND,Life expectancy at birth in 2019,69.66
IDN,Life expectancy at birth in 2019,71.72
,Life expectancy at birth in 2019,
IRN,Life expectancy at birth in 2019,76.68
IRQ,Life expectancy at birth in 2019,70.6
IRL,Life expectancy at birth in 2019,82.3
ISR,Life expectancy at birth in 2019,82.97
ITA,Life expectancy at birth in 2019,83.51
JAM,Life expectancy at birth in 2019,74.47
JPN,Life expectancy at birth in 2019,84.63
JOR,Life expectancy at birth in 2019,74.53
KAZ,Life expectancy at birth in 2019,73.6
KEN,Life expectancy at birth in 2019,66.7
OWID_KOS,Life expectancy at birth in 2019,
KWT,Life expectancy at birth in 2019,75.49
KGZ,Life expectancy at birth in 2019,71.45
LAO,Life expectancy at birth in 2019,67.92
LVA,Life expectancy at birth in 2019,75.29
LBN,Life expectancy at birth in 2019,78.93
LSO,Life expectancy at birth in 2019,54.33
LBR,Life expectancy at birth in 2019,64.1
LBY,Life expectancy at birth in 2019,72.91
LIE,Life expectancy at birth in 2019,82.49
LTU,Life expectancy at birth in 2019,75.93
LUX,Life expectancy at birth in 2019,82.25
MDG,Life expectancy at birth in 2019,67.04
MWI,Life expectancy at birth in 2019,64.26
MYS,Life expectancy at birth in 2019,76.16
MDV,Life expectancy at birth in 2019,78.92
MLI,Life expectancy at birth in 2019,59.31
MLT,Life expectancy at birth in 2019,82.53
MHL,Life expectancy at birth in 2019,73.7
MRT,Life expectancy at birth in 2019,64.92
MUS,Life expectancy at birth in 2019,74.99
MEX,Life expectancy at birth in 2019,75.05
FSM,Life expectancy at birth in 2019,67.88
MDA,Life expectancy at birth in 2019,71.9
MCO,Life expectancy at birth in 2019,86.75
MNG,Life expectancy at birth in 2019,69.87
MNE,Life expectancy at birth in 2019,76.88
MAR,Life expectancy at birth in 2019,76.68
MOZ,Life expectancy at birth in 2019,60.85
MMR,Life expectancy at birth in 2019,67.13
NAM,Life expectancy at birth in 2019,63.71
NPL,Life expectancy at birth in 2019,70.78
NLD,Life expectancy at birth in 2019,82.28
NZL,Life expectancy at birth in 2019,82.29
NIC,Life expectancy at birth in 2019,74.48
NER,Life expectancy at birth in 2019,62.42
NGA,Life expectancy at birth in 2019,54.69
MKD,Life expectancy at birth in 2019,75.8
NOR,Life expectancy at birth in 2019,82.4
OMN,Life expectancy at birth in 2019,77.86
PAK,Life expectancy at birth in 2019,67.27
PSE,Life expectancy at birth in 2019,74.05
PAN,Life expectancy at birth in 2019,78.51
PNG,Life expectancy at birth in 2019,64.5
PRY,Life expectancy at birth in 2019,74.25
PER,Life expectancy at birth in 2019,76.74
PHL,Life expectancy at birth in 2019,71.23
POL,Life expectancy at birth in 2019,78.73
PRT,Life expectancy at birth in 2019,82.05
QAT,Life expectancy at birth in 2019,80.23
ROU,Life expectancy at birth in 2019,76.05
RUS,Life expectancy at birth in 2019,72.58
RWA,Life expectancy at birth in 2019,69.02
KNA,Life expectancy at birth in 2019,76.23
LCA,Life expectancy at birth in 2019,76.2
VCT,Life expectancy at birth in 2019,72.53
WSM,Life expectancy at birth in 2019,73.32
SMR,Life expectancy at birth in 2019,84.97
STP,Life expectancy at birth in 2019,70.39
SAU,Life expectancy at birth in 2019,75.13
SEN,Life expectancy at birth in 2019,67.94
SRB,Life expectancy at birth in 2019,76.0
SYC,Life expectancy at birth in 2019,73.4
SLE,Life expectancy at birth in 2019,54.7
SGP,Life expectancy at birth in 2019,83.62
SVK,Life expectancy at birth in 2019,77.54
SVN,Life expectancy at birth in 2019,81.32
SLB,Life expectancy at birth in 2019,73.0
SOM,Life expectancy at birth in 2019,57.4
ZAF,Life expectancy at birth in 2019,64.13
KOR,Life expectancy at birth in 2019,83.03
SSD,Life expectancy at birth in 2019,57.85
ESP,Life expectancy at birth in 2019,83.56
LKA,Life expectancy at birth in 2019,76.98
SDN,Life expectancy at birth in 2019,65.31
SUR,Life expectancy at birth in 2019,71.68
SWE,Life expectancy at birth in 2019,82.8
CHE,Life expectancy at birth in 2019,83.78
SYR,Life expectancy at birth in 2019,72.7
TWN,Life expectancy at birth in 2019,80.46
TJK,Life expectancy at birth in 2019,71.1
TZA,Life expectancy at birth in 2019,65.46
THA,Life expectancy at birth in 2019,77.15
TLS,Life expectancy at birth in 2019,69.5
TGO,Life expectancy at birth in 2019,61.04
TTO,Life expectancy at birth in 2019,73.51
TUN,Life expectancy at birth in 2019,76.7
TUR,Life expectancy at birth in 2019,77.69
UGA,Life expectancy at birth in 2019,63.37
UKR,Life expectancy at birth in 2019,72.06
ARE,Life expectancy at birth in 2019,77.97
GBR,Life expectancy at birth in 2019,81.32
USA,Life expectancy at birth in 2019,78.86
URY,Life expectancy at birth in 2019,77.91
UZB,Life expectancy at birth in 2019,71.72
VUT,Life expectancy at birth in 2019,70.47
VAT,Life expectancy at birth in 2019,75.12
VEN,Life expectancy at birth in 2019,72.06
VNM,Life expectancy at birth in 2019,75.4
OWID_WRL,Life expectancy at birth in 2019,72.58
YEM,Life expectancy at birth in 2019,66.12
ZMB,Life expectancy at birth in 2019,63.89
ZWE,Life expectancy at birth in 2019,61.49
