Geography,Indicator,Count
YEM,Population in 2020,29825968.0
ZMB,Population in 2020,18383956.0
ZWE,Population in 2020,14862927.0
AFG,Population density,54.422
ALB,Population density,104.87100000000001
DZA,Population density,17.348
AND,Population density,163.755
AGO,Population density,23.89
ATG,Population density,231.845
ARG,Population density,16.177
ARM,Population density,102.931
AUS,Population density,3.202
AUT,Population density,106.749
AZE,Population density,119.309
BHS,Population density,39.497
BHR,Population density,1935.9070000000002
BGD,Population density,1265.036
BRB,Population density,664.4630000000001
BLR,Population density,46.858000000000004
BEL,Population density,375.564
BLZ,Population density,16.426
BEN,Population density,99.11
BTN,Population density,21.188000000000002
BOL,Population density,10.202
BIH,Population density,68.49600000000001
BWA,Population density,4.044
BRA,Population density,25.04
BRN,Population density,81.347
BGR,Population density,65.18
BFA,Population density,70.15100000000001
BDI,Population density,423.06199999999995
KHM,Population density,90.67200000000001
CMR,Population density,50.885
CAN,Population density,4.037
CPV,Population density,135.58
CAF,Population density,7.479
TCD,Population density,11.833
CHL,Population density,24.281999999999996
CHN,Population density,147.674
COL,Population density,44.223
COM,Population density,437.352
COG,Population density,15.405
CRI,Population density,96.079
CIV,Population density,76.399
HRV,Population density,73.726
CUB,Population density,110.40799999999999
CYP,Population density,127.65700000000001
CZE,Population density,137.17600000000002
COD,Population density,35.879
DNK,Population density,136.52
DJI,Population density,41.285
DMA,Population density,98.56700000000001
DOM,Population density,222.873
ECU,Population density,66.939
EGY,Population density,97.999
SLV,Population density,307.811
GNQ,Population density,45.193999999999996
ERI,Population density,44.303999999999995
EST,Population density,31.033
SWZ,Population density,79.492
ETH,Population density,104.95700000000001
FJI,Population density,49.562
FIN,Population density,18.136
FRA,Population density,122.57799999999999
GAB,Population density,7.859
GMB,Population density,207.56599999999997
GEO,Population density,65.032
DEU,Population density,237.016
GHA,Population density,126.719
GRC,Population density,83.479
GRD,Population density,317.132
GTM,Population density,157.834
GIN,Population density,51.755
GNB,Population density,66.191
GUY,Population density,3.952
HTI,Population density,398.44800000000004
HND,Population density,82.805
HUN,Population density,108.04299999999999
ISL,Population density,3.404
IND,Population density,450.41900000000004
IDN,Population density,145.725
,Population density,
IRN,Population density,49.831
IRQ,Population density,88.125
IRL,Population density,69.874
ISR,Population density,402.606
ITA,Population density,205.859
JAM,Population density,266.879
JPN,Population density,347.778
JOR,Population density,109.285
KAZ,Population density,6.681
KEN,Population density,87.324
OWID_KOS,Population density,168.155
KWT,Population density,232.128
KGZ,Population density,32.333
LAO,Population density,29.715
LVA,Population density,31.212
LBN,Population density,594.561
LSO,Population density,73.562
LBR,Population density,49.126999999999995
LBY,Population density,3.623
LIE,Population density,237.012
LTU,Population density,45.135
LUX,Population density,231.447
MDG,Population density,43.951
MWI,Population density,197.519
MYS,Population density,96.25399999999999
MDV,Population density,1454.433
MLI,Population density,15.196
MLT,Population density,1454.037
MHL,Population density,295.15
MRT,Population density,4.289
MUS,Population density,622.962
MEX,Population density,66.444
FSM,Population density,150.77700000000002
MDA,Population density,123.655
MCO,Population density,19347.5
MNG,Population density,1.98
MNE,Population density,46.28
MAR,Population density,80.08
MOZ,Population density,37.728
MMR,Population density,81.721
NAM,Population density,3.0780000000000003
NPL,Population density,204.43
NLD,Population density,508.54400000000004
NZL,Population density,18.206
NIC,Population density,51.667
NER,Population density,16.955
NGA,Population density,209.588
MKD,Population density,82.6
NOR,Population density,14.462
OMN,Population density,14.98
PAK,Population density,255.57299999999998
PSE,Population density,778.202
PAN,Population density,55.133
PNG,Population density,18.22
PRY,Population density,17.144000000000002
PER,Population density,25.129
PHL,Population density,351.87300000000005
POL,Population density,124.027
PRT,Population density,112.37100000000001
QAT,Population density,227.322
ROU,Population density,85.12899999999999
RUS,Population density,8.823
RWA,Population density,494.869
KNA,Population density,212.865
LCA,Population density,293.187
VCT,Population density,281.78700000000003
WSM,Population density,69.413
SMR,Population density,556.6669999999999
STP,Population density,212.84099999999998
SAU,Population density,15.322000000000001
SEN,Population density,82.32799999999999
SRB,Population density,80.291
SYC,Population density,208.354
SLE,Population density,104.7
SGP,Population density,7915.731
SVK,Population density,113.12799999999999
SVN,Population density,102.619
SLB,Population density,21.840999999999998
SOM,Population density,23.5
ZAF,Population density,46.754
KOR,Population density,527.967
SSD,Population density,
ESP,Population density,93.105
LKA,Population density,341.955
SDN,Population density,23.258000000000003
SUR,Population density,3.612
SWE,Population density,24.718000000000004
CHE,Population density,214.243
SYR,Population density,
